image,true_class,predicted_class,confidence,correct
_0_1616.jpeg,Eosinophil,Eosinophil,0.4127,1
_0_2107.jpeg,Eosinophil,Neutrophil,0.3756,0
_0_3083.jpeg,Eosinophil,Eosinophil,0.4199,1
_0_3249.jpeg,Eosinophil,Eosinophil,0.6146,1
_0_463.jpeg,Eosinophil,Neutrophil,0.3847,0
_0_6052.jpeg,Eosinophil,Eosinophil,0.3943,1
_0_8167.jpeg,Eosinophil,Eosinophil,0.7115,1
_0_8611.jpeg,Eosinophil,Lymphocyte,0.3263,0
_0_884.jpeg,Eosinophil,Eosinophil,0.6548,1
_0_9294.jpeg,Eosinophil,Eosinophil,0.4114,1
_0_9876.jpeg,Eosinophil,Eosinophil,0.701,1
_10_1830.jpeg,Eosinophil,Eosinophil,0.6602,1
_10_2893.jpeg,Eosinophil,Lymphocyte,0.535,0
_10_5307.jpeg,Eosinophil,Eosinophil,0.8284,1
_10_5605.jpeg,Eosinophil,Eosinophil,0.6972,1
_10_6590.jpeg,Eosinophil,Eosinophil,0.772,1
_10_6786.jpeg,Eosinophil,Lymphocyte,0.3746,0
_10_7138.jpeg,Eosinophil,Eosinophil,0.3925,1
_10_7356.jpeg,Eosinophil,Eosinophil,0.4219,1
_10_7638.jpeg,Eosinophil,Eosinophil,0.4252,1
_10_7851.jpeg,Eosinophil,Lymphocyte,0.4301,0
_11_168.jpeg,Eosinophil,Neutrophil,0.5729,0
_11_2463.jpeg,Eosinophil,Eosinophil,0.4098,1
_11_3423.jpeg,Eosinophil,Eosinophil,0.7703,1
_11_5.jpeg,Eosinophil,Lymphocyte,0.4053,0
_11_6141.jpeg,Eosinophil,Lymphocyte,0.398,0
_11_8316.jpeg,Eosinophil,Eosinophil,0.6756,1
_11_9024.jpeg,Eosinophil,Eosinophil,0.8979,1
_11_9606.jpeg,Eosinophil,Eosinophil,0.3937,1
_11_9804.jpeg,Eosinophil,Eosinophil,0.395,1
_12_1428.jpeg,Eosinophil,Eosinophil,0.6152,1
_12_1610.jpeg,Eosinophil,Lymphocyte,0.6224,0
_12_4896.jpeg,Eosinophil,Lymphocyte,0.3851,0
_12_5324.jpeg,Eosinophil,Eosinophil,0.4426,1
_12_607.jpeg,Eosinophil,Neutrophil,0.3661,0
_12_7926.jpeg,Eosinophil,Eosinophil,0.488,1
_12_8079.jpeg,Eosinophil,Eosinophil,0.5688,1
_12_827.jpeg,Eosinophil,Eosinophil,0.5228,1
_12_8962.jpeg,Eosinophil,Eosinophil,0.643,1
_12_8969.jpeg,Eosinophil,Neutrophil,0.4265,0
_12_9289.jpeg,Eosinophil,Neutrophil,0.4843,0
_12_9445.jpeg,Eosinophil,Eosinophil,0.8883,1
_12_9486.jpeg,Eosinophil,Eosinophil,0.641,1
_12_9706.jpeg,Eosinophil,Neutrophil,0.4985,0
_1_212.jpeg,Eosinophil,Neutrophil,0.3551,0
_1_2584.jpeg,Eosinophil,Eosinophil,0.4327,1
_1_2728.jpeg,Eosinophil,Eosinophil,0.5409,1
_1_3444.jpeg,Eosinophil,Neutrophil,0.4205,0
_1_3670.jpeg,Eosinophil,Neutrophil,0.3888,0
_1_497.jpeg,Eosinophil,Neutrophil,0.5526,0
_1_7517.jpeg,Eosinophil,Lymphocyte,0.3483,0
_1_7893.jpeg,Eosinophil,Neutrophil,0.3511,0
_1_9119.jpeg,Eosinophil,Lymphocyte,0.4411,0
_1_9406.jpeg,Eosinophil,Eosinophil,0.4939,1
_2_1970.jpeg,Eosinophil,Eosinophil,0.458,1
_2_21.jpeg,Eosinophil,Lymphocyte,0.4549,0
_2_233.jpeg,Eosinophil,Eosinophil,0.5642,1
_2_2446.jpeg,Eosinophil,Eosinophil,0.5463,1
_2_276.jpeg,Eosinophil,Eosinophil,0.6032,1
_2_3724.jpeg,Eosinophil,Eosinophil,0.3492,1
_2_4168.jpeg,Eosinophil,Eosinophil,0.3583,1
_2_73.jpeg,Eosinophil,Eosinophil,0.5332,1
_2_9216.jpeg,Eosinophil,Neutrophil,0.4286,0
_3_1343.jpeg,Eosinophil,Eosinophil,0.3702,1
_3_1954.jpeg,Eosinophil,Eosinophil,0.3916,1
_3_3064.jpeg,Eosinophil,Neutrophil,0.4575,0
_3_407.jpeg,Eosinophil,Eosinophil,0.3141,1
