image,true_class,predicted_class,confidence,correct
_0_1616.jpeg,Eosinophil,Neutrophil,0.8705,0
_0_1794.jpeg,Eosinophil,Neutrophil,0.5205,0
_0_1845.jpeg,Eosinophil,Neutrophil,0.5575,0
_0_187.jpeg,Eosinophil,Neutrophil,0.6101,0
_0_196.jpeg,Eosinophil,Neutrophil,0.4251,0
_0_2107.jpeg,Eosinophil,Eosinophil,0.8675,1
_0_2183.jpeg,Eosinophil,Eosinophil,0.8521,1
_0_2313.jpeg,Eosinophil,Eosinophil,0.9134,1
_0_2498.jpeg,Eosinophil,Eosinophil,0.8003,1
_0_2634.jpeg,Eosinophil,Eosinophil,0.4796,1
_0_2789.jpeg,Eosinophil,Neutrophil,0.6735,0
_0_2963.jpeg,Eosinophil,Eosinophil,0.8638,1
_0_3083.jpeg,Eosinophil,Neutrophil,0.473,0
_0_3249.jpeg,Eosinophil,Eosinophil,0.8865,1
_0_3809.jpeg,Eosinophil,Eosinophil,0.9115,1
_0_3859.jpeg,Eosinophil,Eosinophil,0.936,1
_0_4055.jpeg,Eosinophil,Eosinophil,0.9377,1
_0_4130.jpeg,Eosinophil,Eosinophil,0.9477,1
_0_463.jpeg,Eosinophil,Eosinophil,0.9238,1
_0_5642.jpeg,Eosinophil,Neutrophil,0.5947,0
_0_5709.jpeg,Eosinophil,Neutrophil,0.9307,0
_0_5733.jpeg,Eosinophil,Eosinophil,0.954,1
_0_586.jpeg,Eosinophil,Neutrophil,0.8817,0
_0_5974.jpeg,Eosinophil,Neutrophil,0.4272,0
_0_5988.jpeg,Eosinophil,Eosinophil,0.9335,1
_0_6052.jpeg,Eosinophil,Eosinophil,0.9493,1
_0_6243.jpeg,Eosinophil,Eosinophil,0.9417,1
_0_6354.jpeg,Eosinophil,Eosinophil,0.8976,1
_0_6878.jpeg,Eosinophil,Eosinophil,0.8924,1
_0_737.jpeg,Eosinophil,Neutrophil,0.8998,0
_0_7604.jpeg,Eosinophil,Eosinophil,0.9504,1
_0_7764.jpeg,Eosinophil,Eosinophil,0.9217,1
_0_7845.jpeg,Eosinophil,Eosinophil,0.9418,1
_0_8167.jpeg,Eosinophil,Eosinophil,0.9157,1
_0_8201.jpeg,Eosinophil,Eosinophil,0.8778,1
_0_8222.jpeg,Eosinophil,Neutrophil,0.7149,0
_0_8254.jpeg,Eosinophil,Eosinophil,0.8815,1
_0_8473.jpeg,Eosinophil,Eosinophil,0.9354,1
_0_852.jpeg,Eosinophil,Neutrophil,0.6647,0
_0_8611.jpeg,Eosinophil,Neutrophil,0.5287,0
_0_8718.jpeg,Eosinophil,Neutrophil,0.5523,0
_0_8829.jpeg,Eosinophil,Eosinophil,0.9476,1
_0_884.jpeg,Eosinophil,Eosinophil,0.8927,1
_0_8881.jpeg,Eosinophil,Eosinophil,0.8796,1
_0_9294.jpeg,Eosinophil,Eosinophil,0.9619,1
_0_9620.jpeg,Eosinophil,Eosinophil,0.9473,1
_0_967.jpeg,Eosinophil,Eosinophil,0.9383,1
_0_9763.jpeg,Eosinophil,Eosinophil,0.9371,1
_0_9876.jpeg,Eosinophil,Eosinophil,0.9579,1
_10_1104.jpeg,Eosinophil,Eosinophil,0.9345,1
_10_1367.jpeg,Eosinophil,Eosinophil,0.9395,1
_10_1626.jpeg,Eosinophil,Neutrophil,0.7253,0
_10_1830.jpeg,Eosinophil,Eosinophil,0.9296,1
_10_2029.jpeg,Eosinophil,Neutrophil,0.808,0
_10_2539.jpeg,Eosinophil,Eosinophil,0.9146,1
_10_2893.jpeg,Eosinophil,Eosinophil,0.8659,1
_10_2897.jpeg,Eosinophil,Eosinophil,0.5393,1
_10_2988.jpeg,Eosinophil,Neutrophil,0.933,0
_10_3313.jpeg,Eosinophil,Neutrophil,0.9587,0
_10_3363.jpeg,Eosinophil,Eosinophil,0.9531,1
_10_3818.jpeg,Eosinophil,Neutrophil,0.9445,0
_10_4000.jpeg,Eosinophil,Eosinophil,0.8579,1
_10_4604.jpeg,Eosinophil,Eosinophil,0.8229,1
_10_4616.jpeg,Eosinophil,Neutrophil,0.7069,0
_10_5047.jpeg,Eosinophil,Eosinophil,0.9155,1
_10_5177.jpeg,Eosinophil,Neutrophil,0.8208,0
_10_5307.jpeg,Eosinophil,Eosinophil,0.9609,1
_10_5605.jpeg,Eosinophil,Eosinophil,0.9637,1
_10_5693.jpeg,Eosinophil,Eosinophil,0.8835,1
_10_6324.jpeg,Eosinophil,Eosinophil,0.8608,1
_10_6428.jpeg,Eosinophil,Eosinophil,0.9322,1
_10_6506.jpeg,Eosinophil,Neutrophil,0.9318,0
_10_6590.jpeg,Eosinophil,Eosinophil,0.9388,1
_10_6756.jpeg,Eosinophil,Eosinophil,0.8126,1
_10_6766.jpeg,Eosinophil,Eosinophil,0.8909,1
_10_6786.jpeg,Eosinophil,Eosinophil,0.47,1
_10_6787.jpeg,Eosinophil,Eosinophil,0.8228,1
_10_6868.jpeg,Eosinophil,Neutrophil,0.7662,0
_10_6993.jpeg,Eosinophil,Eosinophil,0.4834,1
_10_7018.jpeg,Eosinophil,Eosinophil,0.9475,1
_10_7114.jpeg,Eosinophil,Neutrophil,0.6078,0
_10_7138.jpeg,Eosinophil,Neutrophil,0.9465,0
_10_7356.jpeg,Eosinophil,Neutrophil,0.5514,0
_10_7467.jpeg,Eosinophil,Eosinophil,0.9533,1
_10_7495.jpeg,Eosinophil,Eosinophil,0.5723,1
_10_7638.jpeg,Eosinophil,Eosinophil,0.9448,1
_10_772.jpeg,Eosinophil,Eosinophil,0.9607,1
_10_7851.jpeg,Eosinophil,Eosinophil,0.809,1
_10_7876.jpeg,Eosinophil,Eosinophil,0.9461,1
_10_7976.jpeg,Eosinophil,Neutrophil,0.8238,0
_10_8848.jpeg,Eosinophil,Eosinophil,0.6539,1
_10_8861.jpeg,Eosinophil,Neutrophil,0.9449,0
_10_8882.jpeg,Eosinophil,Neutrophil,0.8879,0
_10_9014.jpeg,Eosinophil,Neutrophil,0.5151,0
_10_9112.jpeg,Eosinophil,Neutrophil,0.8844,0
