image,true_class,predicted_class,confidence,correct
_0_1616.jpeg,Eosinophil,Eosinophil,0.7206,1
_0_1794.jpeg,Eosinophil,Neutrophil,0.7358,0
_0_1845.jpeg,Eosinophil,Eosinophil,0.4731,1
_0_187.jpeg,Eosinophil,Neutrophil,0.6748,0
_0_196.jpeg,Eosinophil,Eosinophil,0.491,1
_0_2107.jpeg,Eosinophil,Eosinophil,0.8522,1
_0_2183.jpeg,Eosinophil,Eosinophil,0.9091,1
_0_2313.jpeg,Eosinophil,Eosinophil,0.8797,1
_0_2498.jpeg,Eosinophil,Eosinophil,0.8997,1
_0_2634.jpeg,Eosinophil,Neutrophil,0.4936,0
_0_2789.jpeg,Eosinophil,Neutrophil,0.6338,0
_0_2963.jpeg,Eosinophil,Eosinophil,0.9152,1
_0_3083.jpeg,Eosinophil,Eosinophil,0.4928,1
_0_3249.jpeg,Eosinophil,Eosinophil,0.9578,1
_0_3809.jpeg,Eosinophil,Eosinophil,0.8831,1
_0_3859.jpeg,Eosinophil,Eosinophil,0.9458,1
_0_4055.jpeg,Eosinophil,Eosinophil,0.8768,1
_0_4130.jpeg,Eosinophil,Eosinophil,0.9396,1
_0_463.jpeg,Eosinophil,Eosinophil,0.773,1
_0_5642.jpeg,Eosinophil,Neutrophil,0.5601,0
_0_5709.jpeg,Eosinophil,Eosinophil,0.5872,1
_0_5733.jpeg,Eosinophil,Eosinophil,0.8721,1
_0_586.jpeg,Eosinophil,Neutrophil,0.9099,0
_0_5974.jpeg,Eosinophil,Neutrophil,0.7472,0
_0_5988.jpeg,Eosinophil,Eosinophil,0.9227,1
_0_6052.jpeg,Eosinophil,Eosinophil,0.9408,1
_0_6243.jpeg,Eosinophil,Eosinophil,0.7994,1
_0_6354.jpeg,Eosinophil,Eosinophil,0.8324,1
_0_6878.jpeg,Eosinophil,Eosinophil,0.9143,1
_0_737.jpeg,Eosinophil,Eosinophil,0.53,1
_0_7604.jpeg,Eosinophil,Eosinophil,0.841,1
_0_7764.jpeg,Eosinophil,Eosinophil,0.8676,1
_0_7845.jpeg,Eosinophil,Eosinophil,0.9205,1
_0_8167.jpeg,Eosinophil,Eosinophil,0.9582,1
_0_8201.jpeg,Eosinophil,Eosinophil,0.7256,1
_0_8222.jpeg,Eosinophil,Neutrophil,0.7638,0
_0_8254.jpeg,Eosinophil,Eosinophil,0.8406,1
_0_8473.jpeg,Eosinophil,Eosinophil,0.882,1
_0_852.jpeg,Eosinophil,Eosinophil,0.4426,1
_0_8611.jpeg,Eosinophil,Neutrophil,0.5041,0
_0_8718.jpeg,Eosinophil,Neutrophil,0.7187,0
_0_8829.jpeg,Eosinophil,Eosinophil,0.9453,1
_0_884.jpeg,Eosinophil,Eosinophil,0.913,1
_0_8881.jpeg,Eosinophil,Eosinophil,0.9126,1
_0_9294.jpeg,Eosinophil,Eosinophil,0.8642,1
_0_9620.jpeg,Eosinophil,Eosinophil,0.8741,1
_0_967.jpeg,Eosinophil,Eosinophil,0.8672,1
_0_9763.jpeg,Eosinophil,Eosinophil,0.962,1
_0_9876.jpeg,Eosinophil,Eosinophil,0.9514,1
_10_1104.jpeg,Eosinophil,Eosinophil,0.9496,1
_10_1367.jpeg,Eosinophil,Eosinophil,0.9451,1
_10_1626.jpeg,Eosinophil,Neutrophil,0.7535,0
_10_1830.jpeg,Eosinophil,Eosinophil,0.878,1
_10_2029.jpeg,Eosinophil,Neutrophil,0.8976,0
_10_2539.jpeg,Eosinophil,Eosinophil,0.8164,1
_10_2893.jpeg,Eosinophil,Eosinophil,0.8732,1
_10_2897.jpeg,Eosinophil,Eosinophil,0.4872,1
_10_2988.jpeg,Eosinophil,Eosinophil,0.4998,1
_10_3313.jpeg,Eosinophil,Neutrophil,0.9459,0
_10_3363.jpeg,Eosinophil,Eosinophil,0.9525,1
_10_3818.jpeg,Eosinophil,Neutrophil,0.9203,0
_10_4000.jpeg,Eosinophil,Eosinophil,0.7869,1
_10_4604.jpeg,Eosinophil,Eosinophil,0.8343,1
_10_4616.jpeg,Eosinophil,Neutrophil,0.7848,0
_10_5047.jpeg,Eosinophil,Eosinophil,0.8716,1
_10_5177.jpeg,Eosinophil,Neutrophil,0.9384,0
_10_5307.jpeg,Eosinophil,Eosinophil,0.9115,1
_10_5605.jpeg,Eosinophil,Eosinophil,0.8653,1
_10_5693.jpeg,Eosinophil,Eosinophil,0.876,1
_10_6324.jpeg,Eosinophil,Eosinophil,0.5169,1
_10_6428.jpeg,Eosinophil,Eosinophil,0.9257,1
_10_6506.jpeg,Eosinophil,Neutrophil,0.9306,0
_10_6590.jpeg,Eosinophil,Eosinophil,0.9067,1
_10_6756.jpeg,Eosinophil,Eosinophil,0.6631,1
_10_6766.jpeg,Eosinophil,Eosinophil,0.9445,1
_10_6786.jpeg,Eosinophil,Eosinophil,0.5938,1
_10_6787.jpeg,Eosinophil,Eosinophil,0.9015,1
_10_6868.jpeg,Eosinophil,Neutrophil,0.5911,0
_10_6993.jpeg,Eosinophil,Neutrophil,0.6759,0
_10_7018.jpeg,Eosinophil,Eosinophil,0.9404,1
_10_7114.jpeg,Eosinophil,Eosinophil,0.6379,1
_10_7138.jpeg,Eosinophil,Eosinophil,0.6847,1
_10_7356.jpeg,Eosinophil,Eosinophil,0.6756,1
_10_7467.jpeg,Eosinophil,Eosinophil,0.9546,1
_10_7495.jpeg,Eosinophil,Eosinophil,0.5601,1
_10_7638.jpeg,Eosinophil,Eosinophil,0.9176,1
_10_772.jpeg,Eosinophil,Eosinophil,0.8106,1
_10_7851.jpeg,Eosinophil,Eosinophil,0.7846,1
_10_7876.jpeg,Eosinophil,Eosinophil,0.9397,1
_10_7976.jpeg,Eosinophil,Eosinophil,0.5064,1
_10_8848.jpeg,Eosinophil,Eosinophil,0.7364,1
_10_8861.jpeg,Eosinophil,Neutrophil,0.9507,0
_10_8882.jpeg,Eosinophil,Neutrophil,0.914,0
_10_9014.jpeg,Eosinophil,Eosinophil,0.4701,1
_10_9112.jpeg,Eosinophil,Neutrophil,0.8923,0
_10_9457.jpeg,Eosinophil,Neutrophil,0.4535,0
_11_1034.jpeg,Eosinophil,Eosinophil,0.8783,1
_11_148.jpeg,Eosinophil,Eosinophil,0.8554,1
_11_168.jpeg,Eosinophil,Eosinophil,0.848,1
_11_1706.jpeg,Eosinophil,Neutrophil,0.6636,0
_11_2036.jpeg,Eosinophil,Eosinophil,0.8713,1
_11_204.jpeg,Eosinophil,Eosinophil,0.8933,1
_11_2463.jpeg,Eosinophil,Eosinophil,0.8951,1
_11_2469.jpeg,Eosinophil,Eosinophil,0.7074,1
_11_3152.jpeg,Eosinophil,Neutrophil,0.9081,0
_11_3170.jpeg,Eosinophil,Eosinophil,0.7353,1
_11_3319.jpeg,Eosinophil,Eosinophil,0.9449,1
_11_3423.jpeg,Eosinophil,Eosinophil,0.9298,1
_11_3607.jpeg,Eosinophil,Eosinophil,0.8867,1
_11_3812.jpeg,Eosinophil,Neutrophil,0.4381,0
_11_4744.jpeg,Eosinophil,Eosinophil,0.9643,1
_11_4829.jpeg,Eosinophil,Eosinophil,0.8176,1
_11_5.jpeg,Eosinophil,Neutrophil,0.9312,0
_11_5512.jpeg,Eosinophil,Eosinophil,0.8154,1
_11_5530.jpeg,Eosinophil,Neutrophil,0.8621,0
_11_573.jpeg,Eosinophil,Eosinophil,0.837,1
_11_6141.jpeg,Eosinophil,Eosinophil,0.9047,1
_11_6509.jpeg,Eosinophil,Eosinophil,0.9436,1
_11_6586.jpeg,Eosinophil,Eosinophil,0.8733,1
_11_6693.jpeg,Eosinophil,Eosinophil,0.884,1
_11_6757.jpeg,Eosinophil,Neutrophil,0.4766,0
_11_6857.jpeg,Eosinophil,Eosinophil,0.9593,1
_11_709.jpeg,Eosinophil,Eosinophil,0.8742,1
_11_7189.jpeg,Eosinophil,Eosinophil,0.9104,1
_11_7296.jpeg,Eosinophil,Neutrophil,0.9341,0
_11_755.jpeg,Eosinophil,Eosinophil,0.8226,1
_11_7653.jpeg,Eosinophil,Neutrophil,0.5905,0
_11_7956.jpeg,Eosinophil,Neutrophil,0.9425,0
_11_8032.jpeg,Eosinophil,Eosinophil,0.878,1
_11_8316.jpeg,Eosinophil,Eosinophil,0.9437,1
_11_8636.jpeg,Eosinophil,Neutrophil,0.9423,0
_11_8743.jpeg,Eosinophil,Neutrophil,0.9125,0
_11_9024.jpeg,Eosinophil,Eosinophil,0.8303,1
_11_9067.jpeg,Eosinophil,Eosinophil,0.9444,1
_11_9324.jpeg,Eosinophil,Eosinophil,0.5168,1
_11_9385.jpeg,Eosinophil,Eosinophil,0.5441,1
_11_942.jpeg,Eosinophil,Neutrophil,0.8551,0
_11_9497.jpeg,Eosinophil,Eosinophil,0.6505,1
_11_9606.jpeg,Eosinophil,Eosinophil,0.8914,1
_11_9643.jpeg,Eosinophil,Eosinophil,0.8894,1
