image,true_class,predicted_class,confidence,correct
_0_1616.jpeg,Eosinophil,Eosinophil,0.9128,1
_0_1794.jpeg,Eosinophil,Neutrophil,0.9708,0
_0_1845.jpeg,Eosinophil,Eosinophil,0.9997,1
_0_187.jpeg,Eosinophil,Neutrophil,0.9954,0
_0_196.jpeg,Eosinophil,Eosinophil,0.999,1
_0_2107.jpeg,Eosinophil,Eosinophil,0.9751,1
_0_2183.jpeg,Eosinophil,Eosinophil,0.9995,1
_0_2313.jpeg,Eosinophil,Eosinophil,0.9997,1
_0_2498.jpeg,Eosinophil,Eosinophil,0.9932,1
_0_2634.jpeg,Eosinophil,Neutrophil,0.6973,0
_0_2789.jpeg,Eosinophil,Neutrophil,0.657,0
_0_2963.jpeg,Eosinophil,Eosinophil,0.9999,1
_0_3083.jpeg,Eosinophil,Neutrophil,0.4852,0
_0_3249.jpeg,Eosinophil,Eosinophil,0.9993,1
_0_3809.jpeg,Eosinophil,Eosinophil,0.9499,1
_0_3859.jpeg,Eosinophil,Eosinophil,0.9992,1
_0_4055.jpeg,Eosinophil,Eosinophil,0.9995,1
_0_4130.jpeg,Eosinophil,Eosinophil,0.9995,1
_0_463.jpeg,Eosinophil,Eosinophil,0.9286,1
_0_5642.jpeg,Eosinophil,Neutrophil,0.8724,0
_0_5709.jpeg,Eosinophil,Eosinophil,0.955,1
_0_5733.jpeg,Eosinophil,Eosinophil,0.9997,1
_0_586.jpeg,Eosinophil,Neutrophil,0.9881,0
_0_5974.jpeg,Eosinophil,Eosinophil,0.415,1
_0_5988.jpeg,Eosinophil,Eosinophil,0.9973,1
_0_6052.jpeg,Eosinophil,Eosinophil,0.9974,1
_0_6243.jpeg,Eosinophil,Eosinophil,0.6085,1
_0_6354.jpeg,Eosinophil,Eosinophil,0.9999,1
_0_6878.jpeg,Eosinophil,Eosinophil,0.9928,1
_0_737.jpeg,Eosinophil,Eosinophil,0.9782,1
_0_7604.jpeg,Eosinophil,Eosinophil,0.8757,1
_0_7764.jpeg,Eosinophil,Eosinophil,0.9981,1
_0_7845.jpeg,Eosinophil,Eosinophil,0.9999,1
_0_8167.jpeg,Eosinophil,Eosinophil,0.9977,1
_0_8201.jpeg,Eosinophil,Eosinophil,0.9986,1
_0_8222.jpeg,Eosinophil,Neutrophil,0.914,0
_0_8254.jpeg,Eosinophil,Eosinophil,0.6655,1
_0_8473.jpeg,Eosinophil,Eosinophil,0.9996,1
_0_852.jpeg,Eosinophil,Eosinophil,0.9983,1
_0_8611.jpeg,Eosinophil,Neutrophil,0.6515,0
_0_8718.jpeg,Eosinophil,Neutrophil,0.8774,0
_0_8829.jpeg,Eosinophil,Eosinophil,0.9937,1
_0_884.jpeg,Eosinophil,Eosinophil,1.0,1
_0_8881.jpeg,Eosinophil,Eosinophil,0.9596,1
_0_9294.jpeg,Eosinophil,Eosinophil,0.9723,1
_0_9620.jpeg,Eosinophil,Eosinophil,0.9998,1
_0_967.jpeg,Eosinophil,Eosinophil,0.998,1
_0_9763.jpeg,Eosinophil,Eosinophil,0.9975,1
_0_9876.jpeg,Eosinophil,Eosinophil,0.9969,1
_10_1104.jpeg,Eosinophil,Eosinophil,0.9996,1
_10_1367.jpeg,Eosinophil,Eosinophil,0.9981,1
_10_1626.jpeg,Eosinophil,Neutrophil,0.963,0
_10_1830.jpeg,Eosinophil,Eosinophil,0.9997,1
_10_2029.jpeg,Eosinophil,Neutrophil,0.831,0
_10_2539.jpeg,Eosinophil,Eosinophil,0.9995,1
_10_2893.jpeg,Eosinophil,Eosinophil,0.9909,1
_10_2897.jpeg,Eosinophil,Eosinophil,0.9999,1
_10_2988.jpeg,Eosinophil,Eosinophil,0.6991,1
_10_3313.jpeg,Eosinophil,Neutrophil,0.8196,0
_10_3363.jpeg,Eosinophil,Eosinophil,0.9987,1
_10_3818.jpeg,Eosinophil,Neutrophil,0.9987,0
_10_4000.jpeg,Eosinophil,Eosinophil,0.8391,1
_10_4604.jpeg,Eosinophil,Eosinophil,0.9387,1
_10_4616.jpeg,Eosinophil,Neutrophil,0.9416,0
_10_5047.jpeg,Eosinophil,Eosinophil,0.9993,1
_10_5177.jpeg,Eosinophil,Neutrophil,0.8418,0
_10_5307.jpeg,Eosinophil,Eosinophil,0.9966,1
_10_5605.jpeg,Eosinophil,Eosinophil,0.9998,1
_10_5693.jpeg,Eosinophil,Eosinophil,0.9958,1
_10_6324.jpeg,Eosinophil,Eosinophil,0.3796,1
_10_6428.jpeg,Eosinophil,Eosinophil,0.9944,1
_10_6506.jpeg,Eosinophil,Neutrophil,0.906,0
_10_6590.jpeg,Eosinophil,Eosinophil,0.9999,1
_10_6756.jpeg,Eosinophil,Eosinophil,0.8874,1
_10_6766.jpeg,Eosinophil,Eosinophil,1.0,1
_10_6786.jpeg,Eosinophil,Eosinophil,0.9955,1
_10_6787.jpeg,Eosinophil,Eosinophil,0.9683,1
_10_6868.jpeg,Eosinophil,Neutrophil,0.9191,0
_10_6993.jpeg,Eosinophil,Neutrophil,0.9142,0
_10_7018.jpeg,Eosinophil,Eosinophil,0.9901,1
_10_7114.jpeg,Eosinophil,Neutrophil,0.4508,0
_10_7138.jpeg,Eosinophil,Eosinophil,0.4345,1
_10_7356.jpeg,Eosinophil,Neutrophil,0.4266,0
