image,true_class,predicted_class,confidence,correct
_0_1794.jpeg,Eosinophil,Neutrophil,0.6174,0
_0_187.jpeg,Eosinophil,Neutrophil,0.616,0
_0_2183.jpeg,Eosinophil,Eosinophil,0.9948,1
_0_2313.jpeg,Eosinophil,Eosinophil,0.9942,1
_0_2498.jpeg,Eosinophil,Eosinophil,0.983,1
_0_2634.jpeg,Eosinophil,Neutrophil,0.7504,0
_0_2963.jpeg,Eosinophil,Eosinophil,0.9981,1
_0_3809.jpeg,Eosinophil,Eosinophil,0.9952,1
_0_4055.jpeg,Eosinophil,Eosinophil,0.9988,1
_0_4130.jpeg,Eosinophil,Eosinophil,0.9936,1
_0_5709.jpeg,Eosinophil,Eosinophil,0.7204,1
_0_586.jpeg,Eosinophil,Neutrophil,0.9694,0
_0_5988.jpeg,Eosinophil,Eosinophil,0.9956,1
_0_6243.jpeg,Eosinophil,Eosinophil,0.8524,1
_0_6878.jpeg,Eosinophil,Eosinophil,0.9988,1
_0_737.jpeg,Eosinophil,Eosinophil,0.7609,1
_0_7604.jpeg,Eosinophil,Eosinophil,0.8289,1
_0_7764.jpeg,Eosinophil,Eosinophil,0.998,1
_0_7845.jpeg,Eosinophil,Eosinophil,0.9997,1
_0_8201.jpeg,Eosinophil,Eosinophil,0.9236,1
_0_8222.jpeg,Eosinophil,Neutrophil,0.6469,0
_0_8473.jpeg,Eosinophil,Eosinophil,0.9999,1
_0_852.jpeg,Eosinophil,Eosinophil,0.6386,1
_0_8718.jpeg,Eosinophil,Neutrophil,0.5594,0
_0_8829.jpeg,Eosinophil,Eosinophil,0.9987,1
_0_967.jpeg,Eosinophil,Eosinophil,0.9998,1
_0_9763.jpeg,Eosinophil,Eosinophil,0.9947,1
_10_1626.jpeg,Eosinophil,Neutrophil,0.5913,0
_10_2897.jpeg,Eosinophil,Eosinophil,0.5772,1
_10_2988.jpeg,Eosinophil,Eosinophil,0.7004,1
_10_3363.jpeg,Eosinophil,Eosinophil,0.9986,1
_10_3818.jpeg,Eosinophil,Neutrophil,0.962,0
_10_4616.jpeg,Eosinophil,Eosinophil,0.7928,1
_10_5177.jpeg,Eosinophil,Neutrophil,0.9528,0
_10_5693.jpeg,Eosinophil,Eosinophil,0.9987,1
_10_6324.jpeg,Eosinophil,Eosinophil,0.9934,1
_10_6506.jpeg,Eosinophil,Neutrophil,0.9399,0
_10_6756.jpeg,Eosinophil,Eosinophil,0.9762,1
_10_6766.jpeg,Eosinophil,Eosinophil,0.9887,1
_10_6787.jpeg,Eosinophil,Eosinophil,0.9877,1
_10_7018.jpeg,Eosinophil,Eosinophil,0.9996,1
_10_7467.jpeg,Eosinophil,Eosinophil,0.9943,1
_10_7876.jpeg,Eosinophil,Eosinophil,0.9962,1
_10_7976.jpeg,Eosinophil,Eosinophil,0.5857,1
_10_8861.jpeg,Eosinophil,Neutrophil,0.9358,0
_10_8882.jpeg,Eosinophil,Neutrophil,0.9532,0
_10_9014.jpeg,Eosinophil,Eosinophil,0.5505,1
_10_9112.jpeg,Eosinophil,Neutrophil,0.9189,0
_11_1034.jpeg,Eosinophil,Eosinophil,0.9975,1
_11_148.jpeg,Eosinophil,Eosinophil,0.9952,1
_11_3152.jpeg,Eosinophil,Neutrophil,0.9599,0
_11_3170.jpeg,Eosinophil,Eosinophil,0.8643,1
_11_3319.jpeg,Eosinophil,Eosinophil,0.9958,1
_11_3607.jpeg,Eosinophil,Eosinophil,0.9999,1
_11_3812.jpeg,Eosinophil,Neutrophil,0.5726,0
_11_4829.jpeg,Eosinophil,Eosinophil,0.9673,1
_11_5512.jpeg,Eosinophil,Eosinophil,0.9999,1
_11_5530.jpeg,Eosinophil,Eosinophil,0.643,1
_11_573.jpeg,Eosinophil,Eosinophil,0.9996,1
_11_6509.jpeg,Eosinophil,Eosinophil,0.9912,1
_11_6693.jpeg,Eosinophil,Eosinophil,0.8722,1
_11_6757.jpeg,Eosinophil,Neutrophil,0.665,0
_11_6857.jpeg,Eosinophil,Eosinophil,0.9975,1
_11_709.jpeg,Eosinophil,Eosinophil,0.9979,1
_11_7189.jpeg,Eosinophil,Eosinophil,0.9741,1
_11_7296.jpeg,Eosinophil,Neutrophil,0.9647,0
_11_755.jpeg,Eosinophil,Eosinophil,0.9995,1
_11_7653.jpeg,Eosinophil,Neutrophil,0.5325,0
_11_8636.jpeg,Eosinophil,Neutrophil,0.9683,0
_11_9385.jpeg,Eosinophil,Eosinophil,0.656,1
