image,true_class,predicted_class,confidence,correct
_0_1794.jpeg,Eosinophil,Neutrophil,0.8024,0
_0_187.jpeg,Eosinophil,Neutrophil,0.7617,0
_0_2183.jpeg,Eosinophil,Eosinophil,0.9431,1
_0_2313.jpeg,Eosinophil,Eosinophil,0.9332,1
_0_2498.jpeg,Eosinophil,Eosinophil,0.9181,1
_0_2634.jpeg,Eosinophil,Eosinophil,0.4666,1
_0_2963.jpeg,Eosinophil,Eosinophil,0.9346,1
_0_3809.jpeg,Eosinophil,Eosinophil,0.9074,1
_0_4055.jpeg,Eosinophil,Eosinophil,0.9317,1
_0_4130.jpeg,Eosinophil,Eosinophil,0.9542,1
_0_5709.jpeg,Eosinophil,Eosinophil,0.5639,1
_0_586.jpeg,Eosinophil,Neutrophil,0.9527,0
_0_5988.jpeg,Eosinophil,Eosinophil,0.9612,1
_0_6243.jpeg,Eosinophil,Eosinophil,0.8579,1
_0_6878.jpeg,Eosinophil,Eosinophil,0.9509,1
_0_737.jpeg,Eosinophil,Eosinophil,0.5829,1
_0_7604.jpeg,Eosinophil,Eosinophil,0.9089,1
_0_7764.jpeg,Eosinophil,Eosinophil,0.9271,1
_0_7845.jpeg,Eosinophil,Eosinophil,0.9665,1
_0_8201.jpeg,Eosinophil,Eosinophil,0.7431,1
_0_8222.jpeg,Eosinophil,Neutrophil,0.7957,0
_0_8473.jpeg,Eosinophil,Eosinophil,0.9445,1
_0_852.jpeg,Eosinophil,Eosinophil,0.4051,1
_0_8718.jpeg,Eosinophil,Neutrophil,0.7983,0
_0_8829.jpeg,Eosinophil,Eosinophil,0.9636,1
_0_967.jpeg,Eosinophil,Eosinophil,0.9426,1
_0_9763.jpeg,Eosinophil,Eosinophil,0.9672,1
_10_1626.jpeg,Eosinophil,Neutrophil,0.8526,0
_10_2897.jpeg,Eosinophil,Eosinophil,0.4369,1
_10_2988.jpeg,Eosinophil,Eosinophil,0.6253,1
_10_3363.jpeg,Eosinophil,Eosinophil,0.9666,1
_10_3818.jpeg,Eosinophil,Neutrophil,0.9588,0
_10_4616.jpeg,Eosinophil,Neutrophil,0.8233,0
_10_5177.jpeg,Eosinophil,Neutrophil,0.9622,0
_10_5693.jpeg,Eosinophil,Eosinophil,0.9337,1
_10_6324.jpeg,Eosinophil,Eosinophil,0.6054,1
_10_6506.jpeg,Eosinophil,Neutrophil,0.9689,0
_10_6756.jpeg,Eosinophil,Eosinophil,0.7762,1
_10_6766.jpeg,Eosinophil,Eosinophil,0.9679,1
_10_6787.jpeg,Eosinophil,Eosinophil,0.9017,1
_10_7018.jpeg,Eosinophil,Eosinophil,0.9647,1
_10_7467.jpeg,Eosinophil,Eosinophil,0.962,1
_10_7876.jpeg,Eosinophil,Eosinophil,0.9471,1
_10_7976.jpeg,Eosinophil,Eosinophil,0.4808,1
_10_8861.jpeg,Eosinophil,Neutrophil,0.9728,0
_10_8882.jpeg,Eosinophil,Neutrophil,0.963,0
_10_9014.jpeg,Eosinophil,Eosinophil,0.4427,1
_10_9112.jpeg,Eosinophil,Neutrophil,0.9262,0
_11_1034.jpeg,Eosinophil,Eosinophil,0.9196,1
_11_148.jpeg,Eosinophil,Eosinophil,0.8836,1
_11_3152.jpeg,Eosinophil,Neutrophil,0.9413,0
_11_3170.jpeg,Eosinophil,Eosinophil,0.7227,1
_11_3319.jpeg,Eosinophil,Eosinophil,0.952,1
_11_3607.jpeg,Eosinophil,Eosinophil,0.9574,1
_11_3812.jpeg,Eosinophil,Neutrophil,0.4036,0
_11_4829.jpeg,Eosinophil,Eosinophil,0.848,1
_11_5512.jpeg,Eosinophil,Eosinophil,0.894,1
_11_5530.jpeg,Eosinophil,Neutrophil,0.8426,0
_11_573.jpeg,Eosinophil,Eosinophil,0.9148,1
_11_6509.jpeg,Eosinophil,Eosinophil,0.9551,1
_11_6693.jpeg,Eosinophil,Eosinophil,0.9446,1
_11_6757.jpeg,Eosinophil,Eosinophil,0.4279,1
_11_6857.jpeg,Eosinophil,Eosinophil,0.9686,1
_11_709.jpeg,Eosinophil,Eosinophil,0.925,1
_11_7189.jpeg,Eosinophil,Eosinophil,0.9464,1
_11_7296.jpeg,Eosinophil,Neutrophil,0.9688,0
_11_755.jpeg,Eosinophil,Eosinophil,0.9179,1
_11_7653.jpeg,Eosinophil,Neutrophil,0.5852,0
_11_8636.jpeg,Eosinophil,Neutrophil,0.9677,0
_11_9385.jpeg,Eosinophil,Eosinophil,0.5321,1
_11_942.jpeg,Eosinophil,Neutrophil,0.8926,0
_11_9497.jpeg,Eosinophil,Eosinophil,0.676,1
_11_9684.jpeg,Eosinophil,Eosinophil,0.9021,1
_11_9786.jpeg,Eosinophil,Eosinophil,0.5503,1
_11_9887.jpeg,Eosinophil,Neutrophil,0.6033,0
_12_1091.jpeg,Eosinophil,Eosinophil,0.9731,1
_12_1372.jpeg,Eosinophil,Neutrophil,0.8207,0
_12_1554.jpeg,Eosinophil,Eosinophil,0.8947,1
_12_2342.jpeg,Eosinophil,Eosinophil,0.9282,1
_12_2378.jpeg,Eosinophil,Eosinophil,0.6514,1
_12_2782.jpeg,Eosinophil,Neutrophil,0.7503,0
_12_3238.jpeg,Eosinophil,Neutrophil,0.94,0
_12_4205.jpeg,Eosinophil,Eosinophil,0.4684,1
_12_6466.jpeg,Eosinophil,Eosinophil,0.9474,1
_12_6605.jpeg,Eosinophil,Eosinophil,0.9411,1
_12_7159.jpeg,Eosinophil,Eosinophil,0.863,1
_12_7544.jpeg,Eosinophil,Neutrophil,0.6384,0
_12_7634.jpeg,Eosinophil,Eosinophil,0.4611,1
_12_7914.jpeg,Eosinophil,Neutrophil,0.8265,0
_12_8639.jpeg,Eosinophil,Eosinophil,0.9461,1
_12_8657.jpeg,Eosinophil,Eosinophil,0.6843,1
_12_8668.jpeg,Eosinophil,Neutrophil,0.8426,0
_12_8776.jpeg,Eosinophil,Eosinophil,0.5006,1
_12_9759.jpeg,Eosinophil,Eosinophil,0.8603,1
_12_9974.jpeg,Eosinophil,Eosinophil,0.7774,1
_1_1414.jpeg,Eosinophil,Eosinophil,0.9044,1
_1_1484.jpeg,Eosinophil,Neutrophil,0.517,0
_1_16.jpeg,Eosinophil,Eosinophil,0.9477,1
_1_1668.jpeg,Eosinophil,Eosinophil,0.419,1
_1_2090.jpeg,Eosinophil,Eosinophil,0.5772,1
_1_2292.jpeg,Eosinophil,Eosinophil,0.9552,1
_1_2525.jpeg,Eosinophil,Eosinophil,0.9098,1
_1_3150.jpeg,Eosinophil,Eosinophil,0.8163,1
_1_3504.jpeg,Eosinophil,Neutrophil,0.5805,0
_1_3837.jpeg,Eosinophil,Eosinophil,0.9334,1
_1_4100.jpeg,Eosinophil,Neutrophil,0.3711,0
_1_4526.jpeg,Eosinophil,Eosinophil,0.5581,1
_1_4770.jpeg,Eosinophil,Eosinophil,0.9406,1
_1_4966.jpeg,Eosinophil,Neutrophil,0.6014,0
_1_5389.jpeg,Eosinophil,Eosinophil,0.9665,1
_1_5434.jpeg,Eosinophil,Eosinophil,0.5564,1
_1_5497.jpeg,Eosinophil,Eosinophil,0.9595,1
_1_6095.jpeg,Eosinophil,Neutrophil,0.9816,0
_1_6667.jpeg,Eosinophil,Eosinophil,0.6262,1
_1_673.jpeg,Eosinophil,Neutrophil,0.5705,0
_1_7704.jpeg,Eosinophil,Eosinophil,0.9694,1
_1_7860.jpeg,Eosinophil,Neutrophil,0.8185,0
_1_8105.jpeg,Eosinophil,Eosinophil,0.8436,1
_1_84.jpeg,Eosinophil,Eosinophil,0.8743,1
_1_8803.jpeg,Eosinophil,Neutrophil,0.6394,0
_1_8960.jpeg,Eosinophil,Eosinophil,0.9742,1
_1_9496.jpeg,Eosinophil,Eosinophil,0.9623,1
_1_9522.jpeg,Eosinophil,Eosinophil,0.6402,1
_2_1612.jpeg,Eosinophil,Eosinophil,0.8484,1
_2_1728.jpeg,Eosinophil,Eosinophil,0.9789,1
_2_2047.jpeg,Eosinophil,Eosinophil,0.9528,1
_2_3408.jpeg,Eosinophil,Eosinophil,0.9519,1
_2_3438.jpeg,Eosinophil,Eosinophil,0.951,1
_2_3612.jpeg,Eosinophil,Eosinophil,0.9531,1
_2_4263.jpeg,Eosinophil,Eosinophil,0.422,1
_2_5427.jpeg,Eosinophil,Eosinophil,0.8371,1
_2_579.jpeg,Eosinophil,Eosinophil,0.9352,1
_2_5848.jpeg,Eosinophil,Neutrophil,0.6263,0
_2_6619.jpeg,Eosinophil,Eosinophil,0.9338,1
_2_7310.jpeg,Eosinophil,Eosinophil,0.745,1
_2_7356.jpeg,Eosinophil,Eosinophil,0.9142,1
_2_7792.jpeg,Eosinophil,Neutrophil,0.7855,0
_2_7847.jpeg,Eosinophil,Eosinophil,0.9113,1
_2_7914.jpeg,Eosinophil,Eosinophil,0.9554,1
_2_8177.jpeg,Eosinophil,Eosinophil,0.5646,1
_2_8178.jpeg,Eosinophil,Eosinophil,0.8984,1
_2_8920.jpeg,Eosinophil,Eosinophil,0.4481,1
_2_9054.jpeg,Eosinophil,Eosinophil,0.4575,1
_2_9161.jpeg,Eosinophil,Eosinophil,0.5141,1
_2_9325.jpeg,Eosinophil,Eosinophil,0.956,1
_2_9706.jpeg,Eosinophil,Eosinophil,0.9498,1
_2_9829.jpeg,Eosinophil,Eosinophil,0.7535,1
_2_9981.jpeg,Eosinophil,Neutrophil,0.9741,0
_3_1202.jpeg,Eosinophil,Eosinophil,0.8102,1
_3_1752.jpeg,Eosinophil,Eosinophil,0.9625,1
_3_2531.jpeg,Eosinophil,Eosinophil,0.921,1
_3_2654.jpeg,Eosinophil,Eosinophil,0.5951,1
_3_2887.jpeg,Eosinophil,Eosinophil,0.9483,1
_3_3858.jpeg,Eosinophil,Eosinophil,0.8483,1
_3_4263.jpeg,Eosinophil,Eosinophil,0.9281,1
_3_482.jpeg,Eosinophil,Eosinophil,0.958,1
_3_4964.jpeg,Eosinophil,Neutrophil,0.8324,0
_3_5495.jpeg,Eosinophil,Eosinophil,0.9543,1
_3_6030.jpeg,Eosinophil,Eosinophil,0.9204,1
_3_6274.jpeg,Eosinophil,Eosinophil,0.9616,1
_3_6422.jpeg,Eosinophil,Neutrophil,0.9455,0
_3_6618.jpeg,Eosinophil,Eosinophil,0.5724,1
_3_6919.jpeg,Eosinophil,Eosinophil,0.7683,1
_3_7064.jpeg,Eosinophil,Neutrophil,0.9806,0
_3_8600.jpeg,Eosinophil,Eosinophil,0.592,1
_3_8987.jpeg,Eosinophil,Eosinophil,0.9697,1
_3_9140.jpeg,Eosinophil,Eosinophil,0.9665,1
_3_9276.jpeg,Eosinophil,Eosinophil,0.9524,1
_3_9885.jpeg,Eosinophil,Eosinophil,0.9485,1
_4_1001.jpeg,Eosinophil,Eosinophil,0.7061,1
_4_1249.jpeg,Eosinophil,Eosinophil,0.9299,1
_4_1361.jpeg,Eosinophil,Eosinophil,0.885,1
_4_1439.jpeg,Eosinophil,Neutrophil,0.8435,0
_4_1767.jpeg,Eosinophil,Eosinophil,0.9606,1
_4_2404.jpeg,Eosinophil,Eosinophil,0.9615,1
_4_2434.jpeg,Eosinophil,Neutrophil,0.5941,0
_4_2755.jpeg,Eosinophil,Neutrophil,0.5819,0
